iter	Passed	Remaining
474	632	699
475	633	697
476	634	695
477	634	693
478	635	691
479	636	689
480	636	687
481	637	685
482	638	683
483	639	681
484	640	679
485	641	678
486	641	676
487	642	674
488	643	672
489	644	670
490	644	668
491	646	667
492	646	665
493	647	663
494	648	661
495	649	659
496	650	657
497	651	657
498	652	655
499	653	653
500	654	651
501	655	650
502	655	648
503	656	646
504	657	644
505	658	642
506	658	640
507	659	638
508	660	637
509	661	635
510	662	633
511	663	632
512	663	630
513	664	628
514	665	626
515	666	624
516	667	623
517	668	621
518	669	620
519	669	618
520	670	616
521	671	614
522	671	612
523	672	610
524	673	609
525	674	607
526	674	605
527	675	604
528	676	602
529	677	600
530	678	599
531	679	597
532	679	595
533	680	594
534	681	592
535	682	590
536	683	589
537	684	587
538	685	586
539	686	584
540	686	582
541	687	581
542	688	579
543	689	577
544	690	576
545	691	574
546	692	573
547	693	571
548	694	570
549	694	568
550	695	567
551	696	565
552	697	563
553	698	562
554	699	560
555	699	558
556	700	557
557	701	555
558	702	553
559	702	552
560	703	550
561	704	548
562	705	547
563	706	546
564	707	544
565	707	542
566	708	541
567	709	539
568	710	537
569	710	536
570	711	534
571	712	533
572	713	531
573	714	530
574	714	528
575	715	526
576	716	525
577	717	523
578	717	521
579	718	520
580	719	518
581	720	517
582	721	515
583	722	514
584	723	513
585	724	511
586	725	510
587	725	508
588	726	507
589	727	505
590	728	504
591	729	502
592	730	501
593	731	499
594	732	498
595	733	497
596	735	496
597	736	494
598	737	493
599	738	492
600	739	490
601	739	489
602	740	487
603	741	486
604	742	484
605	743	483
606	744	481
607	744	480
608	745	478
609	746	477
610	747	475
611	747	474
612	748	472
613	749	471
614	751	470
615	751	468
616	752	467
617	753	465
618	754	464
619	755	462
620	755	461
621	757	460
622	758	458
623	759	457
624	760	456
625	760	454
626	761	453
627	762	451
628	763	450
629	764	448
630	765	447
631	766	446
632	767	444
633	767	443
634	768	441
635	769	440
636	770	438
637	771	437
638	772	436
639	773	435
640	774	433
641	775	432
642	775	430
643	776	429
644	777	427
645	778	426
646	779	425
647	780	423
648	781	422
649	782	421
650	782	419
651	783	418
652	784	416
653	785	415
654	786	414
655	787	412
656	787	411
657	788	409
658	789	408
659	790	407
660	790	405
661	791	404
662	792	402
663	793	401
664	794	400
665	795	398
666	796	397
667	797	396
668	797	394
669	798	393
670	799	392
671	800	390
672	801	389
673	802	388
674	803	386
675	804	385
676	805	384
677	805	382
678	806	381
679	807	379
680	808	378
681	809	377
682	809	375
683	810	374
684	811	373
685	812	371
686	813	370
687	814	369
688	815	367
689	816	366
690	816	365
691	818	364
692	819	362
693	819	361
694	820	360
695	821	358
696	822	357
697	822	355
698	823	354
699	824	353
700	825	352
701	826	350
702	826	349
703	827	347
704	828	346
705	829	345
706	829	343
707	830	342
708	831	341
709	832	339
710	833	338
711	833	337
712	834	335
713	835	334
714	835	333
715	836	331
716	837	330
717	838	329
718	839	327
719	840	326
720	840	325
721	841	324
722	842	322
723	843	321
724	843	320
725	844	318
726	845	317
727	846	316
728	847	315
729	848	313
730	849	312
731	850	311
732	850	309
733	851	308
734	852	307
735	853	306
736	854	304
737	855	303
738	856	302
739	857	301
740	858	300
741	859	298
742	860	297
743	863	296
744	864	295
745	865	294
746	866	293
747	867	292
748	871	292
749	872	290
750	873	289
751	874	288
752	876	287
753	877	286
754	878	285
755	879	283
756	880	282
757	881	281
758	882	280
759	882	278
760	883	277
761	885	276
762	885	275
763	886	273
764	887	272
765	888	271
766	888	270
767	889	268
768	891	267
769	892	266
770	893	265
771	894	264
772	894	262
773	895	261
774	896	260
775	897	258
776	897	257
777	898	256
778	899	255
779	900	254
780	901	252
781	902	251
782	903	250
783	903	249
784	904	247
785	906	246
786	907	245
787	908	244
788	909	243
789	909	241
790	910	240
791	911	239
792	911	238
793	912	236
794	913	235
795	915	234
796	916	233
797	917	232
798	918	231
799	920	230
800	920	228
801	921	227
802	922	226
803	923	225
804	924	223
805	924	222
806	925	221
807	926	220
808	927	218
809	927	217
810	929	216
811	930	215
812	930	214
813	931	212
814	932	211
815	934	210
816	935	209
817	936	208
818	937	207
819	938	205
820	939	204
821	939	203
822	940	202
823	941	201
824	942	199
825	942	198
826	945	197
827	946	196
828	947	195
829	949	194
830	950	193
831	951	192
832	952	190
833	954	189
834	955	188
835	955	187
836	956	186
837	957	185
838	958	184
839	960	182
840	961	181
841	969	181
842	976	181
843	977	180
844	978	179
845	981	178
846	983	177
847	985	176
848	987	175
849	988	174
850	989	173
851	990	172
852	992	170
853	993	169
854	997	169
855	999	168
856	1000	166
857	1001	165
858	1001	164
859	1004	163
860	1008	162
861	1008	161
862	1010	160
863	1013	159
864	1015	158
865	1016	157
866	1017	156
867	1019	155
868	1021	153
869	1022	152
870	1023	151
871	1024	150
872	1025	149
873	1029	148
874	1030	147
875	1031	146
876	1032	144
877	1033	143
878	1033	142
879	1034	141
880	1036	139
881	1037	138
882	1038	137
883	1038	136
884	1039	135
885	1040	133
886	1041	132
887	1044	131
888	1045	130
889	1046	129
890	1047	128
891	1048	126
892	1049	125
893	1050	124
894	1051	123
895	1052	122
896	1054	121
897	1055	119
898	1056	118
899	1057	117
900	1058	116
901	1058	115
902	1059	113
903	1060	112
904	1061	111
905	1061	110
906	1062	108
907	1063	107
908	1064	106
909	1064	105
910	1065	104
911	1066	102
912	1067	101
913	1068	100
914	1068	99
915	1069	98
916	1070	96
917	1071	95
918	1071	94
919	1072	93
920	1073	92
921	1074	90
922	1075	89
923	1075	88
924	1076	87
925	1077	86
926	1078	84
927	1078	83
928	1079	82
929	1080	81
930	1081	80
931	1082	78
932	1083	77
933	1083	76
934	1084	75
935	1085	74
936	1086	73
937	1086	71
938	1087	70
939	1088	69
940	1089	68
941	1090	67
942	1091	65
943	1091	64
944	1092	63
945	1093	62
946	1093	61
947	1094	60
948	1095	58
949	1096	57
950	1097	56
951	1098	55
952	1099	54
953	1100	53
954	1101	51
955	1102	50
956	1102	49
957	1103	48
958	1104	47
959	1105	46
960	1106	44
961	1106	43
962	1107	42
963	1108	41
964	1109	40
965	1109	39
966	1110	37
967	1111	36
968	1112	35
969	1113	34
970	1113	33
971	1114	32
972	1115	30
973	1116	29
974	1117	28
975	1117	27
976	1118	26
977	1119	25
978	1120	24
979	1121	22
980	1121	21
981	1122	20
982	1123	19
983	1124	18
984	1124	17
985	1125	15
986	1126	14
987	1127	13
988	1128	12
989	1129	11
990	1129	10
991	1130	9
992	1131	7
993	1132	6
994	1133	5
995	1134	4
996	1135	3
997	1136	2
998	1136	1
999	1137	0
